Network,Content type,Content
tiktok,Comment,"This is Beautiful♥️when I was a little girl, i went to the first day of the Mustard Seed here in Calgary, my aunt and uncle were the live band that was playing, only a handful of less fortunate people showed up, it’s a fond memory♥️"
tiktok,Comment,"Oh my God🌿, I don't know how to appreciate your effort for healing me from herpes virus 🦠,God bless you 💐💐@DR ANUGE HERBS"
tiktok,Comment,does anyone know if there's good alr/actual y2k style clothes there? (^-^)
tiktok,Comment,🔹
tiktok,Comment,🥰🥰🥰
tiktok,Comment,🤍🫀
tiktok,Comment,🥰🥰🥰
tiktok,Comment,👏
tiktok,Comment,God will keep on blessing you for getting me cure from herpes virus.@Doc francis 🥰🥰🥰
tiktok,Comment,Thank you for all you do!
tiktok,Comment,thanks for showing us how to do this
tiktok,Comment,is there a pack we can make for women?
tiktok,Comment,"The Nixon family are generally awful humans who have taken advantage of you Mike, and so many others under the guise of care. Hi Jason"
tiktok,Comment,❤️
tiktok,Comment,Can you tell me what the new building the mustard seed built in Ogden is four… It has a whole bunch of rooms and even a restaurant… They are building a huge park across the street… Is this for youth or for everyone? Just curious what it is all about
tiktok,Comment,Ohh hell naaa 😭😂
tiktok,Comment,The mustard seed is the pet project of Jason Nixons father and they literally profit from keeping people unhoused and vulnerable. Kinda sketchy considering Jason Nixon is attacking the most vulnerable people with their unfair cuts to aish and making laws to protect slumlord landlords and make it harder for renters.
tiktok,Comment,did Jordan had a sex change? the story is a little confusing
tiktok,Comment,I only help family
tiktok,Comment,Beautiful!❤️
tiktok,Comment,Ask a Alberta MLa to help he is getting a pension from the Mustard Seed
tiktok,Comment,Thank you for the tem nder!
tiktok,Comment,Thank you for the reminder!
tiktok,Comment,Aren’t you guys for profit?
tiktok,Comment,No one has money to give !!
tiktok,Comment,"Maybe Chris, Jordon, Linda and John should make better choices so my better choices aren’t what they rely on"
tiktok,Comment,I’m Canadian. We are taxed to death. I’m linda
tiktok,Comment,The bissell center helped me when I needed help getting housing
tiktok,Comment,😁😁😁
tiktok,Comment,"I already gave someone the food and shelter, it’s called parenthood and it takes most of my money."
tiktok,Comment,"Quit giving resources to foreign students, your resources will go farther"
tiktok,Comment,"You want support yet you don’t allow us to repost your videos, which makes it pretty tough to propagate your message…"
tiktok,Comment,Aren’t you guys for profit?
tiktok,Comment,😂😂😂
tiktok,Comment,🥰🥰🥰
tiktok,Comment,I love what you guys do and I’m happy you’re doing what you do. But why all the Jesus? Can’t you just help people for the sake of helping?
tiktok,Comment,Is this where our donations are going? To pay people wages to decide to approve ridiculous ads like this that leave viewers more confused than sympathetic..? Very disappointing..
tiktok,Comment,Word of the day is j.o.b
tiktok,Comment,🥰🥰🥰
tiktok,Comment,hello
tiktok,Comment,"Sure miss my Seed team, it's been 3 years and I think about them often. Merry Christmas!"
facebook,Comment,❤️
facebook,Comment,B1B2 Early Appointment date
facebook,Comment,Thank you Linda for making sure the Perry family were part of this. We are so honoured to have Alan Perry’s art on display in Brian’s Cafe❤️
facebook,Comment,Such a wonderful space!! We love that our late son’s art is displayed on the wall. Thank you for all you are doing to help the community!
facebook,Comment,It was a beautiful evening!
facebook,Comment,Thank you Mustard Seed!
facebook,Comment,"Thank you Kendra, Byron and all you wonderful Mustard Seed people."
facebook,Comment,🤤🤤🤤🤤
facebook,Comment,It’s sooo good! Would highly recommend!
facebook,Comment,💛💛💛💛💛💛💛💛💛💛
facebook,Comment,♥️♥️♥️
facebook,Comment,"We are so grateful to have had you in our lives, Brian. Also for this extraordinary memorial that was created in your name💗We miss you!"
facebook,Comment,Miss you Brian 😢Beautiful place Brian’s Cafe is. Have been there a few times it is very warm and welcoming. The staff are amazing  and so are the people that go there. 💙
facebook,Comment,What a wonderful tribute ❤️
facebook,Comment,"I remember the ride, I remember the jersey and the bike, and I remember the smile.  A bright, dynamic young guy gone way too early."
facebook,Comment,Congrats!!! I need to come in for for one soon!!
facebook,Comment,Banana cream pie latte....all day
facebook,Comment,Could you please post your hours?
facebook,Comment,"If beauty were a felony, you’d be serving a life sentence, with no appeal, no parole, and absolutely no objections from the jury. The evidence? That captivating smile, your effortless grace, and the sparkle in your eyes that could disarm even the toughest judge. You, my dear, are the most enchanting outlaw in the realm of charm. So go ahead, lock me up beside you, because I’m more than ready to be your partner in this beautiful mischief. Shall we take on the world together, one bold adventure at a time?"
facebook,Comment,Can’t wait!
facebook,Comment,Yum! Thanks for sharing! I’ll definitely be stopping in next week!
facebook,Comment,the price so high for things they get for free from people in the city it do no good if you are lowincome or if you live on the street it is down right sad
facebook,Comment,if you want things at a good price go to the royalinland store  they have good prices i know i go to them for things an it help the hospital out
facebook,Comment,"Karen Rhea Morgan
This is an awesome deal one clothing or shoe item and receive the second of equal or lesser value free
Hope to see you there"
facebook,Comment,Did u look on fb market place there was a dryer on there the other day
facebook,Comment,"I will probably be leaving apparently there are no toilets for women the men have decided they are there for them and even the so called women washroom is for men.  And well you try and be helpful and they chew you out I am better off dead.  

That is the way I see it not welcome and not wanted still in the human world.  Better kff 4 lb of soil for worms and flowers.  And trees.  And ocean bed.  …."
facebook,Comment,"Rights of a shelter used.  Who is in violation of them…. 

Do you ask or search belonging did you know that is a no no

https://www.homelesshub.ca/sites/default/files/Homeless%20Charter%20of%20Rights.pdf"
facebook,Comment,"🤘😎 
HAPPY NEW YEAR!"
facebook,Comment,Samantha-jane Mugridge. Edie Mack.
facebook,Comment,Way to go Craig Jesske and team at Starbucks!
facebook,Comment,Craig Jesske is the best!!!
facebook,Comment,💚💚💚💚💚💚💚💚💚☕️☕️☕️☕️☕️☕️☕️☕️☕️☕️☕️☕️☕️☕️
facebook,Comment,Craig Jesske are you back in Medicine Hat ?
facebook,Comment,They are the best 😍
facebook,Comment,Awesome good work
facebook,Comment,And slippers too!!!
facebook,Comment,They're amazing group of compassionate people
facebook,Comment,i need help just got out of jail im staying clean from nova sctoia no ids no income im in slaving lake friends moving no were to go need get home please help me out.
facebook,Comment,
facebook,Comment,
facebook,Comment,Way to go Craig Jesske 👏
facebook,Comment,Amazing team! Way to go!
facebook,Comment,Strongly suggest you check emails even if people you do not like.     There is something important in there and it will be copied and sent to others because of your lack of attention about what is going to come.
facebook,Comment,
facebook,Comment,Beautiful!!
facebook,Comment,Thank you for the incredible work you do supporting people in the Kamloops community!
facebook,Comment,"I don’t know what’s going on with The Mustard Seed (but) as of true Christian faith should be responsible for the neighbourhood and area to look after the homeless and neighbourhood that they’re in. It’s only common sense as a Christian so I’m not sure what these people are all about, but I think they need to be taught more about Christianity and Jesus took care of everyone not just an organization🙏"
facebook,Comment,💛💛💛
facebook,Comment,"here is a good neighbour plan.. I heard you've been working on it for 2 years? This took me about 12 minutes.

Prairie Manor Good Neighbour Plan
The Mustard Seed Prairie Manor Housing Project

NAME OF ORGANIZATION:
The Mustard Seed is a Christian non-profit organization that has been caring for individuals experiencing homelessness and poverty since 1984. Our vision is to eliminate homelessness and reduce poverty where we serve. Our mission is to build hope and wellbeing for our most vulnerable citizens through Jesus’ love.

Operating in five cities across Alberta and British Columbia, The Mustard Seed is a supportive haven where people can have their physical, mental, and spiritual needs met and grow toward greater health and independence.

We have been an agent of change for more than three decades, thanks to our donors, volunteers, and support from the community.

PROJECT INFORMATION:
The Mustard Seed is converting an existing hotel into a residential building in the Queen Alexandra Park community. The project will involve retrofitting 85 hotel units to create self-contained bachelor units that The Mustard Seed will rent as affordable supportive housing units. The building will undergo several renovations to supportive residential uses, and is anticipated to be completed by Summer 2022.

Upon completion of the required renovations, Prairie Manor will focus on housing marginalized and over-represented populations experiencing poverty. The Mustard Seed is committed to maintaining a 60% Indigenous tenant population and reserving 30% of units for women.

Prairie Manor is a direct response to a unique call to action across municipal and federal levels of government. As a recipient of CMHC’s Rapid Housing Initiative Program and the City of Edmonton’s Affordable Housing Investment Plan, Prairie Manor will contribute 85 supportive housing units as part of the Rapid Housing Initiative’s total target of 9,200 new affordable housing units across Canada.

It is imperative that The Mustard Seed expands our ability to serve those vulnerable neighbours at the same pace that the need is growing, and this new initiative will allow our organization to better support the community.

COMMITMENT:
The Mustard Seed is committed to engaging the neighborhood surrounding the community hub and responding to feedback and the resolution process as part of our pre-construction activities, during construction, and on an ongoing basis during operations of Prairie Manor. We will always do our best to facilitate open communication with our neighbours, and prioritize quick turn-around times for any community member inquiries on our initiative.

As part of our community engagement plan with our neighbours, communications will be facilitated in several different ways depending on the status of the project, including:

Mailed or delivered newsletters and pamphlets
Virtual survey on draft Good Neighbour Plan
Virtual and/or in-person open house events (subject to COVID-19 safety considerations)
Email notifications and correspondence
One-on-one phone and/or in-person meetings
Access to project information on our website (https://theseed.ca/prairie-manor)
Upon completion of construction, Prairie Manor will proactively engage and be a member of the Queen Alexandra Park Community League. The Mustard Seed will encourage our residents and staff to support local businesses and stakeholders, with the primary goal to have our residents invested and integrated into the neighbourhood.

Once Prairie Manor is operational, we will also invite community members into the space to connect with the community or see what it is all about! The Mustard Seed will also provide a direct contact for the supervisor of the housing program that can be utilized regarding a donation, volunteering, or a concern.

ELIGIBILITY:
The purpose of Prairie Manor is to provide affordable housing units to 85 individuals who have a history of difficulty maintaining market rent housing. In order to be eligible for housing, these individuals must meet the additional criteria below:

18+ years old
History of homelessness or difficulty maintaining market-rate housing
Meet the criteria for supportive housing as identified by a designated assessment tool
Income cannot exceed the Core Need Income Threshold (CNIT) as defined by the City of Edmonton
https://open.alberta.ca/dataset/423df5de-6562-4b06-9ccb-596e9d130bb5/resource/1128ae16-d050-4a98-860c-2e503d84a677/download/sh-2021-income-threshold.pdf
KEY ISSUES:
At time of drafting this Good Neighbour Plan, no key issues have been raised by the community. Upon compiling feedback from the Good Neighbour Plan survey, this draft Good Neighbour Plan will be updated to reflect community feedback and how The Mustard Seed intends to address these key issues.

RELATIONSHIP-BUILDING WITH COMMUNITY:
We are all neighbours in this area, and as neighbours, we all have a responsibility to care for our neighbourhood, engage in healthy change, and get to know each other as friends and community members.

We try to build these relationships by adding value to the neighbourhood such as facilitating community clean-ups, hosting community BBQ’s, and hosting block parties inclusive of everyone. These are a few ways in which we hope to build relationships in the neighbourhood. We are always open to new ways and ideas to connect, and would love to hear from you!

ISSUE RESOLUTION:
In case of emergencies, always call 911. If the concern is a non-emergency situation, call 211.

During the pre-construction and community consultation phase, please connect with the following team members:

For questions/comments on programming and engagement opportunities:

Megan Schuring, Director of Community Development meganschuring@theseed.ca

For questions/comments on permitting, approval, and construction processes:

Taylor Kawaguchi, Project Manager taylorkawaguchi@theseed.ca

Upon building completion, this Good Neighbour Plan will be updated to reflect the primary contact information for building operations and distributed accordingly.

Resolution Timelines:

If there is an issue or complaint that a community member would like to bring forward, The Mustard Seed has committed to the following resolution process:

1. Complaint Received:

Within two business days of receiving a complaint or concern from the community, The Mustard Seed’s program team will collaborate internally to develop a response plan
2. Response:

Within four business days, The Mustard Seed will connect with the complainant to establish a meeting to discuss the concern further, or a plan to address the concern
3. Follow-Up:

Within ten business days, The Mustard Seed will implement the plan with established responsibilities and timelines for resolution
4. Review:

Within ten weeks of the implemented action items, The Mustard Seed will follow-up with the complainant to review success and identify any additional barriers or concerns
Step 3 and 4 will be completed and/or repeated until the complaint has been considered resolved by all parties"
facebook,Comment,"I heard you guys needed help with a plan... HERE YA GO

NAME OF ORGANIZATION:
The Mustard Seed is a Christian non-profit organization that has been caring for individuals experiencing homelessness and poverty since 1984. Our vision is to eliminate homelessness and reduce poverty where we serve. Our mission is to build hope and wellbeing for our most vulnerable citizens through Jesus’ love.

Operating in five cities across Alberta and British Columbia, The Mustard Seed is a supportive haven where people can have their physical, mental, and spiritual needs met and grow toward greater health and independence.

We have been an agent of change for more than three decades, thanks to our donors, volunteers, and support from the community.

PROJECT INFORMATION:
The Mustard Seed is converting an existing hotel into a residential building in the Queen Alexandra Park community. The project will involve retrofitting 85 hotel units to create self-contained bachelor units that The Mustard Seed will rent as affordable supportive housing units. The building will undergo several renovations to supportive residential uses, and is anticipated to be completed by Summer 2022.

Upon completion of the required renovations, Prairie Manor will focus on housing marginalized and over-represented populations experiencing poverty. The Mustard Seed is committed to maintaining a 60% Indigenous tenant population and reserving 30% of units for women.

Prairie Manor is a direct response to a unique call to action across municipal and federal levels of government. As a recipient of CMHC’s Rapid Housing Initiative Program and the City of Edmonton’s Affordable Housing Investment Plan, Prairie Manor will contribute 85 supportive housing units as part of the Rapid Housing Initiative’s total target of 9,200 new affordable housing units across Canada.

It is imperative that The Mustard Seed expands our ability to serve those vulnerable neighbours at the same pace that the need is growing, and this new initiative will allow our organization to better support the community.

COMMITMENT:
The Mustard Seed is committed to engaging the neighborhood surrounding the community hub and responding to feedback and the resolution process as part of our pre-construction activities, during construction, and on an ongoing basis during operations of Prairie Manor. We will always do our best to facilitate open communication with our neighbours, and prioritize quick turn-around times for any community member inquiries on our initiative.

As part of our community engagement plan with our neighbours, communications will be facilitated in several different ways depending on the status of the project, including:

Mailed or delivered newsletters and pamphlets
Virtual survey on draft Good Neighbour Plan
Virtual and/or in-person open house events (subject to COVID-19 safety considerations)
Email notifications and correspondence
One-on-one phone and/or in-person meetings
Access to project information on our website (https://theseed.ca/prairie-manor)
Upon completion of construction, Prairie Manor will proactively engage and be a member of the Queen Alexandra Park Community League. The Mustard Seed will encourage our residents and staff to support local businesses and stakeholders, with the primary goal to have our residents invested and integrated into the neighbourhood.

Once Prairie Manor is operational, we will also invite community members into the space to connect with the community or see what it is all about! The Mustard Seed will also provide a direct contact for the supervisor of the housing program that can be utilized regarding a donation, volunteering, or a concern.

ELIGIBILITY:
The purpose of Prairie Manor is to provide affordable housing units to 85 individuals who have a history of difficulty maintaining market rent housing. In order to be eligible for housing, these individuals must meet the additional criteria below:

18+ years old
History of homelessness or difficulty maintaining market-rate housing
Meet the criteria for supportive housing as identified by a designated assessment tool
Income cannot exceed the Core Need Income Threshold (CNIT) as defined by the City of Edmonton
https://open.alberta.ca/dataset/423df5de-6562-4b06-9ccb-596e9d130bb5/resource/1128ae16-d050-4a98-860c-2e503d84a677/download/sh-2021-income-threshold.pdf
KEY ISSUES:
At time of drafting this Good Neighbour Plan, no key issues have been raised by the community. Upon compiling feedback from the Good Neighbour Plan survey, this draft Good Neighbour Plan will be updated to reflect community feedback and how The Mustard Seed intends to address these key issues.

RELATIONSHIP-BUILDING WITH COMMUNITY:
We are all neighbours in this area, and as neighbours, we all have a responsibility to care for our neighbourhood, engage in healthy change, and get to know each other as friends and community members.

We try to build these relationships by adding value to the neighbourhood such as facilitating community clean-ups, hosting community BBQ’s, and hosting block parties inclusive of everyone. These are a few ways in which we hope to build relationships in the neighbourhood. We are always open to new ways and ideas to connect, and would love to hear from you!

ISSUE RESOLUTION:
In case of emergencies, always call 911. If the concern is a non-emergency situation, call 211.

During the pre-construction and community consultation phase, please connect with the following team members:

For questions/comments on programming and engagement opportunities:

Megan Schuring, Director of Community Development meganschuring@theseed.ca

For questions/comments on permitting, approval, and construction processes:

Taylor Kawaguchi, Project Manager taylorkawaguchi@theseed.ca

Upon building completion, this Good Neighbour Plan will be updated to reflect the primary contact information for building operations and distributed accordingly.

Resolution Timelines:

If there is an issue or complaint that a community member would like to bring forward, The Mustard Seed has committed to the following resolution process:

1. Complaint Received:

Within two business days of receiving a complaint or concern from the community, The Mustard Seed’s program team will collaborate internally to develop a response plan
2. Response:

Within four business days, The Mustard Seed will connect with the complainant to establish a meeting to discuss the concern further, or a plan to address the concern
3. Follow-Up:

Within ten business days, The Mustard Seed will implement the plan with established responsibilities and timelines for resolution
4. Review:

Within ten weeks of the implemented action items, The Mustard Seed will follow-up with the complainant to review success and identify any additional barriers or concerns
Step 3 and 4 will be completed and/or repeated until the complaint has been considered resolved by all parties"
facebook,Comment,It was a pleasure to have your group come in. I love hearing all the laughing. Thanks for choosing the School Lunch Program as your way to give back❤️
facebook,Comment,"Wow, way to go Janell! ☕️❤️"
facebook,Comment,Way to go Janell !! That's so kind of you God bless 🙌 🙏
facebook,Comment,Bless your beautiful soul
facebook,Comment,AISH is ending in a few years is what people have told me.
facebook,Comment,"Good look, Mike. Thanks for Southside's encouragement and your generous service."
facebook,Comment,Thank-you for your support and encouragement!
facebook,Comment,Amazing to you all!💕
facebook,Comment,Make your own paint palette!!!
facebook,Comment,Can you explain why? As you still have the 8th street location which shelters a minimum 30? Or is the mustard seed going to completely leave Medicine Hat?
facebook,Comment,Thanks so much !!
facebook,Comment,❤️❤️❤️❤️❤️☕️☕️☕️☕️☕️☕️☕️
facebook,Comment,Why??
facebook,Comment,I think Dad and I should visit there.
facebook,Comment,I would knit slippers too!!
facebook,Comment,"Warm feet make for a better day. Thnx for the contributions.
Remember it is still going to get much colder out there. It is still only January 28th."
facebook,Comment,Thank you for your support 💛
facebook,Comment,💛💛💛
facebook,Comment,"Hi,I hope my long time friend Joan Dowd is living there as she lived in the old place for 20 years ,a hard working lady and I hope she wasn’t displaced"
facebook,Comment,"اسلام و علیکم
تمام دوستوں سے  گزارش ہے کہ ہماری مسجد زیر تعمیر ہے اور اسکے لئے امداد کی ضرورت ہے.  جو بھی جتنا بھی حسب توفیق اللہ کی رضا کی خاطر تعاون کر سکیں ضرور اس کار خیر میں حصہ لیں۔ سیمنٹ ' کارپٹ سپیکر سسٹم 
نقدی  کسی بھی صورت میں مدد کر سکتے ہیں۔
 
Easy paisa # 03455516037

Account Title:MUHAMMAD "", Account Number: ""22497948798803"", IBAN: ""PK58HABB0022497948798803 Habib Bank LTD"
facebook,Comment,I would donate slippers too!!
facebook,Comment,Love this!!
facebook,Comment,Amazing!! ❤️
facebook,Comment,hey dear https://www.facebook.com/profile.php?id=61572827372419 like my page please
facebook,Comment,Make your own paint palette!!!!
facebook,Comment,That is absolutely BEAUTIFUL! Who made it?! they are so talented!!
facebook,Comment,The Mustard Seed Lynne Gunn 🥰❤️😉
facebook,Comment,"Is there any organization that want some used hard hats, safety gloves and safety glasses?
I used to take them to the Bissell Centre but they do not have the program for employable homeless.
For example, an employer would come in- looking for a few guys to work for the day but need hard hats, and perhaps other PPE."
facebook,Comment,Maybe St Barnabas will do it again?
facebook,Comment,I would knit thousands of slippers too!!!!
facebook,Comment,I will donate $150. Would love a toque to continue to promote the Mustard Seed from the Yukon.
facebook,Comment,Me too!
facebook,Comment,And slippers too!!!
facebook,Comment,Awe - that’s fantastic!!  Happy birthday Sabrina!!
facebook,Comment,Happy Birthday Sabrina🧁
facebook,Comment,Happy Birthday Sabrina!! I hope you are having a wonderful day!!
facebook,Comment,"Have an awesome birthday, Sabrina! 🎉🎂"
facebook,Comment,Happy Birthday
facebook,Comment,❤️❤️❤️🎊🎊🎊🎂🎂🎂🎂🎂🎂🎂🎂🎊🎊🎊🎊🎊🎉🎉🎉🎉🎉🎉🎁🎁🎁🎁🎁🎁🥳🥳🥳🥳🥳🥳🥳
facebook,Comment,Happy Birthday to a wonderful volunteer!! We appreciate you so much Sabrina!!! 🙂
facebook,Comment,Happy Birthday my friend. njoy and have fun in your birthday. God Bless you more🙏🌹🎂
facebook,Comment,"Happy birthday, Sabrina!! May God richly bless you today & over the coming year!!"
facebook,Comment,Happy birthday Sabrina!
facebook,Comment,
facebook,Comment,Happy birthday Sabrina! 🤗🤗
facebook,Comment,"HAPPY BIRTHDAY TO YOU,
HAPPY BIRTHDAY TO YOU,
HAPPY BIRTHDAY
DEAR SABRINA,
HAPPY BIRTHDAY TO YOU,
AND MANY, MANY, MANY MORE!!!"
facebook,Comment,Truly unfortunate.  This is sadly at the cost of so many that need these services. We must do better to support the most vulnerable. Thank you to you all at the mustard seed who continue to persevere and advocate for change.
facebook,Comment,"Many of us here in the Flats hope your organization finds the perfect new location, keeping in mind and guided by potential impacts on surrounding neighbourhoods."
facebook,Comment,"The ladies that work wellness are ridiculous! Who do they actually help? Do quick survey with other professionals. They will tell you to ask for help anywhere else! 
I'm sad there was no willingness to work with the city, to work with the neighbors, and law enforcement to ensure the people who are hungry can eat! Not everyone who accesses food supports are substance users. Now no one will be fed.
The Mustard Seed had soooo many opportunities to make this better and they chose not to. 
Unfortunately doing God's work was too much for them. Shame on the Mustard Seed 😡"
facebook,Comment,Amanda Finnerty
facebook,Comment,"The mustard seed is a highly profitable business, there was no reason you didn’t do a much better job helping those who needed it most.."
facebook,Comment,"Wishing you happiness and birthday blessings all year long,  Sabrina!! 🎉🎂🍨"
facebook,Comment,"I was able to use this location to shelter me during two daytimes. Only two, it's a lot more for most others. It was -25°C weather, and all I had to do was walk 15 minutes from the overnight shelter. I was a person in crisis. Does Medicine Hat (who greenlit this closure) think that by shutting this location down, that people in crisis will temporarily cease to exist? Unwell people are still going to mill about the area. If anything, neighbourhood complaints are going to get worse"
facebook,Comment,Happy birthday 🥳
facebook,Comment,Madisen Alex
facebook,Comment,What does CNOY mean????
facebook,Comment,"Donna McIntyre, Taryn McCabe, Shannon DeLeeuw, Natasha Cullen dress club! I was telling Donna about it. Would be a blast to do!"
facebook,Comment,"This is so disheartening, I have utilized the mustard seed for meals many times because I can’t afford food on disability. I understand why it needs to move, but come on Medicine Hat be part of the solution not add to the problem. There were seniors there, 20 year olds, myself 40’s and countless others. We are all going to suffer from this! Doesn’t everyone have the right to basic human needs? Places like this should be honoured for the endless hard work, often without much thanks, volunteers that do it because they care.  The tougher times get the more these places will be needed. Thank you to The Mustard Seed I wouldn’t have eaten many times if you weren’t there ❤️🙏🏻"
facebook,Comment,"The issue of what needs to be done for people who are homeless, drug addicts, or suffering for mental illness on our streets rather than in a secure facility, keeping them and the public safe, is not up for debate. This we can agree on. The elephant in the parlour not addressed in your reporting or that offered by other news outlets in the city is that of the consequences of a facility of this nature being located in a quiet residential neighbourhood in which there are schools, children at play, and hard-working people who abide by laws and who, needless to say, pay the taxes, funding government here, and thus who have every right to expect our concerns to be heard with as much attention as those of an organization that appears not to give much of a damn about the effect their services and those who use them are having on said neighbourhood. I won’t go into the multitude of questions many of us have here in the Flats regarding what violations The Mustard Seed seems to have incurred to bring on this decision by the city. It would certainly be interesting to see what kinds of permits they have for the services they’ve been offering. The most important thing to me, and to many of us who live here is that the services not be interrupted since it is obvious there are some successes, but that the location for the services not be plonked down in the middle of a residential neighbourhood. Not sure why this is so difficult to understand. (Response to Medicine Hat News)"
facebook,Comment,And slippers too!!!
facebook,Comment,We love this! Thank you for being such a great partner!
facebook,Comment,Walsh is a nice place for the mustard seed.  Its a long walk to the hat to be stealing and fornicating in the alleys. Prove me wrong
facebook,Comment,Happy birthday 🍰🎂 to you 💐 wonderful Sabrina 🎉🎁
facebook,Comment,"A follow up message after my last one:  People in major crisis being shunned to less integrated areas will cause more harm than good. Being the 'unwelcome other' doesn't get better when you're unable to be around the regular population. Also, with nowhere to go during the daytime, clients of the overnight Mustard Seed location will just spread out and cause disruptions in more neighbourhoods. I think having more staff at the daytime Mustard Seed location would be more helpful than shuttering it completely."
facebook,Comment,"Happy Family Day

💚💛"
facebook,Comment,Chandra Eadie
facebook,Comment,Love this!!
facebook,Comment,This is AWESOME!
facebook,Comment,I would knit SLIPPERS too!!!!!!!
facebook,Comment,"Are meals and a warm place to sit still being offered until Feb 28?  I have someone, who is recently become homeless, asking me"
facebook,Comment,I would put SLIPPERS in those kits!!!!!!!!!
facebook,Comment,Thank you so much for fixing the slippety slip of our parking lot!! 🙏❄
facebook,Comment,Meeeeeeeee
facebook,Comment,Does the man still have a cigarette in his hand? Or the bird? It was so amazing to watch that painting emerge
facebook,Comment,"I was diagnosed with the herpes virus, but I was able to completely overcome it last year thanks to the treatment I received from Dr. Aziegbe. I followed the instructions of the treatment herbs he sent to me, and I'm now free from the virus. I feel much better and am grateful for the help I received https://web.facebook.com/Herpes-std-cure-dr-aziegbe-herbal-cure-103360314788997/"
facebook,Comment,What a fabulous day CNOY2025 was at the Ogden HUB29! #walkwiththeseed 🙌  Thank you for the opportunity to volunteer!
facebook,Comment,💓💓💓💓💓💓💓💓💓💓👚👚👚👚👚👚👚👚👚👚👚
facebook,Comment,Will this include management bullying the staff? Or staff bullying the clients? Or is this just a post to fit in? Curious as I've seen both often in Medicine Hat.
facebook,Comment,And the many volunteers that helped to make this happen!! 💙💛👏👏👏
facebook,Comment,https://www.facebook.com/share/p/1BCR5cxSSR/
facebook,Comment,"The City should put the containers back and turn them into service structures. One could be for a soup kitchen, another for clothing etc..."
facebook,Comment,Trying to send you message important
facebook,Comment,Very important I speak to Jamie the director of mustard seed please 🙏🙏
facebook,Comment,Look forward to hearing from you
facebook,Comment,Trying to get a hold of mustard seed foothills very important
facebook,Comment,Calgary Alberta
facebook,Comment,"How do you expect everyone struggling on the streets to connect with you via phone? Lots of them don’t have one and many of them don’t have data or plans to utilize calling,.. I just spent a few hrs charging phones so they can hope to find free wifi to utilize any apps they can use"
facebook,Comment,Why can't I find something about their up dates on the take over of the lighthouse. Our xmas was every different than their others in their posts.
facebook,Comment,It isn't the city's fault that the Mustard Seed lied on their development permit in the first place.
facebook,Comment,Please read messenger
facebook,Comment,Amazing 😍
facebook,Comment,"Go on the City of Medicine Hat and go to e-permit and see for yourself that the Salvation Army never had a development or a zoning permit to operate at 737 8st. SE shelter either.  So, the question is, how did the Mustard Seed take over the shelter when it wasn't supposed to be there in the first place?  Also, how did the Mustard Seed get a Business Licence without a Development Permit?"
facebook,Comment,Love it!  Now come do ours. 😊
facebook,Comment,So good to see. Wonderful people.
facebook,Comment,💚💚💚 Thank you The Mustard Seed for all your hard work and support with our Returning Hope program. We're changing lives together!
facebook,Comment,Premier Smith never knows when to just shuttt up!
